team,seed,region,record,from_first_four,wins,losses,conference,bart_rank,bart_adj_oe,bart_adj_de,bart_barthag,bart_em,hasla_rank,hasla_off,hasla_def,hasla_em,hasla_mom,hasla_sos,recent_form_raw,warrennolan_elo_rank,warrennolan_elo,warrennolan_net_rank,warrennolan_net_score,deepmetric_rank,deepmetric_elo,deepmetric_net,deepmetric_off,deepmetric_def,deepmetric_em,prg_average_rank,prg_score,bart_em_z,hasla_em_z,deepmetric_net_z,warrennolan_elo_z,prg_score_z,recent_form_z,composite_strength
South Florida,11,East,25-8,False,25,8,American,50,116.8,101.4,0.8353,15.399999999999991,53.0,117.356679,101.311774,16.044905,5.099455,0.527902,1.0,36,1610.68,45,-45,33,1886.0,18.1,118.6,100.5,18.099999999999994,51.4,-51.4,-0.09781096014411113,-0.15728112580464212,0.031128341584773126,0.15448926643076868,0.2271832377041689,1.1233661485653499,0.09720783556653091
Northern Iowa,12,East,23-12,False,23,12,Missouri Valley,69,109.7,98.6,0.7745,11.100000000000009,66.0,111.637748,98.787343,12.850404999999995,0.856306,0.526584,1.0,69,1491.72,72,-72,63,1747.0,13.3,110.2,96.9,13.299999999999997,80.2,-80.2,-0.4535314171856269,-0.41433598557919826,-0.34517872112892417,-0.6549640839718399,-0.17306474063322289,1.1233661485653499,-0.26384043272601354
Cal Baptist,13,East,25-8,False,25,8,WAC,96,107.5,100.3,0.6889,7.200000000000003,102.0,108.782429,102.328002,6.4544269999999955,6.426794,0.412671,1.0,62,1499.14,98,-98,95,1726.0,5.7,107.6,101.8,5.799999999999997,113.6,-113.6,-0.776161599153515,-0.9290072104692103,-0.9409982370922783,-0.6044753158145819,-0.6372412155106146,1.1233661485653499,-0.6150110613350968
North Dakota St.,14,East,27-7,False,27,7,Summit League,114,111.4,106.0,0.6392,5.400000000000006,104.0,111.859775,106.056253,5.803522000000001,1.125581,0.329493,0.8,80,1472.87,114,-114,117,1678.0,5.1,111.5,106.4,5.099999999999994,119.2,-119.2,-0.9250678369848475,-0.9813842001394422,-0.9880366199314904,-0.7832273292230948,-0.7150672112984409,0.2962723908304222,-0.7886368715276761
Furman,15,East,22-12,False,22,12,Southern,194,106.9,109.0,0.4442,-2.0999999999999943,208.0,107.81378,110.473312,-2.659532000000013,1.073983,0.32586,0.8,129,1383.24,186,-186,175,1586.0,-1.5,107.2,108.8,-1.5999999999999943,173.2,-173.2,-1.5455104946154008,-1.6623887890373907,-1.505458831162824,-1.3931071526644676,-1.4655321706810502,0.2962723908304222,-1.3535498979946452
Siena,16,East,23-11,False,23,11,MAAC,186,107.2,108.9,0.4549,-1.7000000000000028,206.0,107.413955,110.687399,-3.273443999999998,0.657862,0.229961,0.8,109,1409.88,183,-183,151,1675.0,-1.7,107.6,109.3,-1.7000000000000028,191.2,-191.2,-1.512420219541772,-1.7117890279085484,-1.521138292109228,-1.2118375052642862,-1.71568715714192,0.2962723908304222,-1.361238117454102
Michigan,1,Midwest,31-3,False,31,3,Big Ten,2,127.6,91.0,0.9799,36.599999999999994,2.0,129.999532,90.45638,39.54315199999999,-5.445433,0.803733,0.8,3,1872.09,2,-2,2,2030.0,40.4,129.4,89.0,40.400000000000006,2.2,-2.2,1.6559736187582528,1.7335745910627467,1.7793882371088245,1.9332317036260087,0.910940200697213,0.2962723908304222,1.518057969553588
Iowa St.,2,Midwest,27-7,False,27,7,Big 12,7,123.8,92.6,0.9655,31.200000000000003,8.0,124.266415,91.150051,33.11636399999999,1.26394,0.690449,0.6,12,1719.04,6,-6,7,1872.0,33.7,125.0,91.4,33.599999999999994,6.6,-6.6,1.2092549052642552,1.2164241486959293,1.2541262954042893,0.8918158051801514,0.8497912040067782,-0.530821366904506,0.9708622996917136
Virginia,3,Midwest,29-5,False,29,5,ACC,14,122.3,95.8,0.9427,26.5,10.0,124.742346,95.498247,29.24409899999999,-2.17797,0.672107,0.8,8,1761.56,12,-12,8,1946.0,27.6,123.2,95.6,27.60000000000001,17.2,-17.2,0.8204441731491083,0.9048309301687983,0.7759027365389656,1.1811395817362953,0.7024777119798216,0.2962723908304222,0.8100614257852796
Alabama,4,Midwest,23-9,False,23,9,SEC,18,129.5,102.8,0.9344,26.700000000000003,14.0,129.768044,100.990582,28.777462,0.402347,0.798764,0.6,18,1677.92,18,-18,19,1796.0,26.8,128.6,101.8,26.799999999999997,15.2,-15.2,0.8369893106859233,0.8672816083342022,0.7131848927533493,0.6120182112951886,0.7302727104754737,-0.530821366904506,0.6469195612337052
Texas Tech,5,Midwest,22-10,False,22,10,Big 12,12,126.3,98.8,0.9439,27.5,22.0,126.580953,100.66834,25.912612999999993,-2.466596,0.755151,0.4,23,1659.65,19,-19,13,1760.0,26.7,124.9,98.2,26.700000000000003,18.2,-18.2,0.9031698608331821,0.6367530880742936,0.7053451622801472,0.4877015274362811,0.6885802127319954,-1.3579151246394336,0.511526061721672
Tennessee,6,Midwest,22-11,False,22,11,SEC,16,121.5,95.5,0.9408,26.0,17.0,123.76367,96.25713,27.50654,-1.308292,0.734182,0.4,35,1612.45,20,-20,25,1740.0,27.0,121.6,94.6,27.0,15.6,-15.6,0.7790813293070714,0.7650131229704841,0.7288643536997533,0.1665330830936184,0.7247137107763433,-1.3579151246394336,0.47430507151036727
