team_1,team_2,team_1_win_prob,team_2_win_prob
UConn,Miami (Ohio),0.8068451461174561,0.19315485388254397
UConn,SMU,0.7581752459601648,0.24182475403983525
UConn,Akron,0.7362039216234578,0.2637960783765422
UConn,Hofstra,0.8110527974147118,0.18894720258528813
UConn,Wright St.,0.873997226358047,0.1260027736419531
UConn,Tennessee St.,0.9163909015499125,0.08360909845008756
UConn,Howard,0.926923599953019,0.07307640004698099
UConn,UMBC,0.9125837802484456,0.0874162197515545
UConn,Florida,0.3750740417798563,0.6249259582201436
UConn,Houston,0.38618858248008286,0.6138114175199171
UConn,Illinois,0.4474084059963033,0.5525915940036967
UConn,Nebraska,0.5676188245185168,0.43238117548148325
UConn,Vanderbilt,0.5014488070365676,0.4985511929634325
UConn,North Carolina,0.6154213886509146,0.3845786113490854
UConn,Saint Mary's,0.5759807275439204,0.42401927245607957
UConn,Clemson,0.6701820563047218,0.3298179436952781
UConn,Iowa,0.6736303194813822,0.3263696805186178
UConn,Texas A&M,0.7216925252403913,0.2783074747596087
UConn,VCU,0.6664146057013072,0.33358539429869283
UConn,McNeese,0.7496862087777573,0.25031379122224284
UConn,Troy,0.8888801545379548,0.11111984546204529
UConn,Penn,0.8864509515264614,0.11354904847353864
UConn,Idaho,0.887858582746365,0.112141417253635
UConn,Lehigh,0.9580843446161563,0.04191565538384379
UConn,Prairie View A&M,0.9420742518038147,0.05792574819618533
UConn,Arizona,0.2986087918162096,0.7013912081837904
UConn,Purdue,0.39951866564681815,0.6004813343531819
UConn,Gonzaga,0.4679776931462871,0.5320223068537129
UConn,Arkansas,0.4730325711702939,0.526967428829706
UConn,Wisconsin,0.5344145672952773,0.46558543270472275
UConn,BYU,0.635773635057186,0.36422636494281396
UConn,Miami (FL),0.6638905474034109,0.3361094525965891
UConn,Villanova,0.6827485423153016,0.31725145768469837
UConn,Utah St.,0.6146582114227938,0.38534178857720613
UConn,Missouri,0.7491871332723792,0.2508128667276208
UConn,NC State,0.7255486860030387,0.2744513139969613
UConn,Texas,0.7554651290412309,0.2445348709587692
UConn,High Point,0.7844372690788264,0.21556273092117356
UConn,Hawaii,0.859276150498755,0.140723849501245
UConn,Kennesaw St.,0.9084525650467024,0.09154743495329762
UConn,Queens (N.C.),0.9242477708194203,0.07575222918057957
UConn,Long Island,0.9352388526212426,0.0647611473787573
Michigan St.,Kansas,0.5963714797677627,0.4036285202322374
Michigan St.,St. John's,0.4642104235654464,0.5357895764345536
Michigan St.,Louisville,0.5497689123740898,0.45023108762591024
Michigan St.,UCLA,0.5756148388292012,0.42438516117079883
Michigan St.,Ohio St.,0.5661634647129055,0.43383653528709454
Michigan St.,TCU,0.6844690679935271,0.31553093200647286
Michigan St.,UCF,0.7811918169790427,0.21880818302095728
Michigan St.,South Florida,0.6749520578445396,0.3250479421554604
Michigan St.,Northern Iowa,0.7587565683651907,0.24124343163480938
Michigan St.,Cal Baptist,0.8248733898199759,0.17512661018002398
Michigan St.,North Dakota St.,0.8518758958733229,0.1481241041266771
Michigan St.,Furman,0.9167540977022226,0.08324590229777731
Michigan St.,Siena,0.9174263607023584,0.08257363929764176
Michigan St.,Michigan,0.28837103810769055,0.7116289618923095
Michigan St.,Iowa St.,0.4319171074860869,0.5680828925139131
Michigan St.,Virginia,0.4777365680984926,0.5222634319015074
Michigan St.,Alabama,0.5246052323348643,0.4753947676651356
Michigan St.,Texas Tech,0.5632107348420675,0.4367892651579324
Michigan St.,Tennessee,0.573710728684871,0.4262892713151289
Michigan St.,Kentucky,0.6452986310955694,0.3547013689044306
Michigan St.,Georgia,0.6532859165539067,0.3467140834460934
Michigan St.,Saint Louis,0.682888003524268,0.31711199647573196
Michigan St.,Santa Clara,0.6497994267226754,0.3502005732773246
Michigan St.,Miami (Ohio),0.799625212843304,0.20037478715669588
Michigan St.,SMU,0.7497004431750448,0.25029955682495525
Michigan St.,Akron,0.727236143218032,0.2727638567819681
Michigan St.,Hofstra,0.8039519263822055,0.1960480736177945
Michigan St.,Wright St.,0.8688794569638904,0.13112054303610957
Michigan St.,Tennessee St.,0.9128232591522611,0.08717674084773885
Michigan St.,Howard,0.9237680058225123,0.07623199417748772
Michigan St.,UMBC,0.9088698410234135,0.09113015897658651
Michigan St.,Florida,0.3644281616121472,0.6355718383878528
Michigan St.,Houston,0.37541674769216754,0.6245832523078325
Michigan St.,Illinois,0.43614230685138333,0.5638576931486167
Michigan St.,Nebraska,0.5563734416306519,0.4436265583693481
Michigan St.,Vanderbilt,0.4900286439739527,0.5099713560260474
Michigan St.,North Carolina,0.6045531124534375,0.3954468875465626
Michigan St.,Saint Mary's,0.564786074071608,0.43521392592839203
Michigan St.,Clemson,0.6600063751911386,0.3399936248088614
Michigan St.,Iowa,0.6635076095389133,0.33649239046108675
Michigan St.,Texas A&M,0.7124241294885669,0.2875758705114331
Michigan St.,VCU,0.6561823206389958,0.3438176793610041
Michigan St.,McNeese,0.7410155286373538,0.25898447136264624
Michigan St.,Troy,0.8842868433334092,0.1157131566665907
Michigan St.,Penn,0.8817705815693163,0.11822941843068373
Michigan St.,Idaho,0.8832285907758841,0.11677140922411584
Michigan St.,Lehigh,0.9562107701009042,0.04378922989909587
Michigan St.,Prairie View A&M,0.9395302144625259,0.06046978553747409
Michigan St.,Arizona,0.2891291215203021,0.7108708784796979
Michigan St.,Purdue,0.38861041700892185,0.6113895829910782
Michigan St.,Gonzaga,0.45662164016661394,0.5433783598333861
Michigan St.,Arkansas,0.46166029555769517,0.538339704442305
Michigan St.,Wisconsin,0.5230312690258274,0.47696873097417264
Michigan St.,BYU,0.6251301729288767,0.3748698270711233
Michigan St.,Miami (FL),0.6536210815276264,0.34637891847237356
Michigan St.,Villanova,0.6727712628499103,0.3272287371500897
Michigan St.,Utah St.,0.6037822531931306,0.39621774680686933
Michigan St.,Missouri,0.7405051494281024,0.2594948505718976
