team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Montana State,15.0,15.0,0.5,-6.82,-4.85,2180.0,2167.0,2008
Morehead State,15.0,15.0,0.5,-11.27,-6.31,1945.0,2028.0,2008
Morgan State,22.0,11.0,0.667,-4.25,-8.6,2227.0,2059.0,2008
Mount St. Mary's,19.0,15.0,0.559,-3.59,-5.12,2353.0,2301.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Murray State,18.0,13.0,0.581,-4.42,-6.97,2262.0,2141.0,2008
Navy,16.0,14.0,0.533,-5.88,-7.68,2289.0,2208.0,2008
NC State,15.0,16.0,0.484,5.41,9.06,2086.0,2160.0,2008
Nebraska,20.0,13.0,0.606,11.31,6.34,2214.0,2002.0,2008
Nevada,21.0,12.0,0.636,3.92,-0.11,2488.0,2330.0,2008
Nevada-Las Vegas,27.0,8.0,0.771,10.23,4.02,2440.0,2181.0,2008
New Hampshire,9.0,20.0,0.31,-9.86,-6.11,1961.0,2017.0,2008
New Mexico,24.0,9.0,0.727,12.53,1.72,2446.0,2069.0,2008
New Mexico State,21.0,14.0,0.6,5.43,-1.31,2793.0,2528.0,2008
New Orleans,19.0,13.0,0.594,-3.06,-3.56,2352.0,2287.0,2008
Niagara,19.0,10.0,0.655,-0.16,-3.61,2219.0,2119.0,2008
Nicholls State,10.0,21.0,0.323,-9.17,-1.13,2007.0,2164.0,2008
NJIT,0.0,29.0,0.0,,,1622.0,2233.0,2008
Norfolk State,16.0,15.0,0.516,-13.65,-11.97,2158.0,2189.0,2008
North Carolina,36.0,3.0,0.923,24.17,8.12,3454.0,2828.0,2008
North Carolina A&T,15.0,16.0,0.484,-14.56,-6.48,2165.0,2230.0,2008
North Carolina Central,4.0,26.0,0.133,,,1686.0,2348.0,2008
North Dakota State,16.0,13.0,0.552,,,2238.0,2066.0,2008
North Florida,3.0,26.0,0.103,,,1723.0,2110.0,2008
North Texas,20.0,11.0,0.645,1.53,-2.72,2385.0,2184.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Northeastern,14.0,17.0,0.452,-1.36,-1.1,1965.0,1973.0,2008
Northern Arizona,21.0,11.0,0.656,-0.71,-3.81,2333.0,2194.0,2008
Northern Colorado,13.0,16.0,0.448,-7.05,-4.71,2004.0,2037.0,2008
Northern Illinois,6.0,22.0,0.214,-9.3,0.38,1840.0,2111.0,2008
Northern Iowa,18.0,14.0,0.563,4.28,3.61,1996.0,1931.0,2008
Northwestern,8.0,22.0,0.267,-1.3,6.15,1854.0,2038.0,2008
Northwestern State,15.0,18.0,0.455,-11.11,-2.7,2437.0,2624.0,2008
Notre Dame,25.0,8.0,0.758,16.15,7.03,2608.0,2297.0,2008
Oakland,17.0,14.0,0.548,-0.17,-0.81,2369.0,2283.0,2008
Ohio,20.0,13.0,0.606,3.94,1.3,2234.0,2147.0,2008
Ohio State,24.0,13.0,0.649,13.72,7.97,2551.0,2300.0,2008
Oklahoma,23.0,12.0,0.657,11.97,7.85,2378.0,2234.0,2008
Oklahoma State,17.0,16.0,0.515,9.39,7.67,2257.0,2193.0,2008
Old Dominion,18.0,16.0,0.529,2.45,0.28,2263.0,2189.0,2008
Oral Roberts,24.0,9.0,0.727,5.71,-0.26,2282.0,2047.0,2008
Oregon,18.0,14.0,0.563,11.68,7.65,2450.0,2321.0,2008
Oregon State,6.0,25.0,0.194,-6.2,7.34,1858.0,2196.0,2008
Pacific,21.0,10.0,0.677,0.09,-4.22,2237.0,2058.0,2008
Penn State,15.0,16.0,0.484,4.57,6.12,2019.0,2067.0,2008
Pennsylvania,13.0,18.0,0.419,-10.4,-3.75,2096.0,2308.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Pepperdine,11.0,21.0,0.344,-8.0,-0.06,2365.0,2551.0,2008
Pittsburgh,27.0,10.0,0.73,15.62,7.84,2731.0,2410.0,2008
Portland,9.0,22.0,0.29,-8.62,-1.24,1957.0,2135.0,2008
Portland State,23.0,10.0,0.697,1.72,-3.01,2438.0,2245.0,2008
Prairie View,8.0,22.0,0.267,-21.36,-9.7,1977.0,2286.0,2008
Presbyterian,5.0,25.0,0.167,,,1787.0,1987.0,2008
Princeton,6.0,23.0,0.207,-11.42,-4.05,1673.0,1862.0,2008
Providence,15.0,16.0,0.484,8.38,7.86,2253.0,2237.0,2008
Purdue,25.0,9.0,0.735,13.1,5.9,2367.0,2122.0,2008
Purdue Fort Wayne,13.0,18.0,0.419,-5.25,0.96,2135.0,2171.0,2008
Quinnipiac,15.0,15.0,0.5,-8.01,-7.08,2226.0,2254.0,2008
Radford,10.0,20.0,0.333,-14.72,-3.15,2128.0,2378.0,2008
Rhode Island,21.0,12.0,0.636,8.42,2.29,2658.0,2456.0,2008
Rice,3.0,27.0,0.1,-10.29,2.78,1678.0,2070.0,2008
Richmond,16.0,15.0,0.516,0.22,2.55,1974.0,2046.0,2008
Rider,23.0,11.0,0.676,1.86,-3.72,2610.0,2400.0,2008
Robert Morris,26.0,8.0,0.765,-0.07,-6.57,2550.0,2329.0,2008
Rutgers,11.0,20.0,0.355,-1.57,7.07,1928.0,2123.0,2008
Sacramento State,4.0,24.0,0.143,-17.5,-1.9,1805.0,2156.0,2008
Sacred Heart,18.0,14.0,0.563,-5.9,-6.3,2300.0,2287.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Saint Francis (PA),6.0,23.0,0.207,-13.52,-5.27,1848.0,2066.0,2008
Saint Joseph's,21.0,13.0,0.618,9.63,3.98,2484.0,2292.0,2008
Saint Louis,16.0,15.0,0.516,0.31,3.05,1862.0,1909.0,2008
Saint Mary's (CA),25.0,7.0,0.781,11.39,0.36,2421.0,2037.0,2008
Saint Peter's,6.0,24.0,0.2,-10.01,-4.11,2002.0,2179.0,2008
Sam Houston,23.0,8.0,0.742,-0.25,-5.25,2192.0,1909.0,2008
Samford,14.0,16.0,0.467,-11.97,-7.19,1792.0,1855.0,2008
San Diego,22.0,14.0,0.611,3.39,1.45,2365.0,2296.0,2008
San Diego State,20.0,13.0,0.606,5.21,2.15,2204.0,2090.0,2008
San Francisco,10.0,21.0,0.323,-7.02,-0.95,2069.0,2229.0,2008
San Jose State,13.0,19.0,0.406,-9.2,-1.66,2137.0,2308.0,2008
Santa Clara,15.0,16.0,0.484,-0.77,-0.98,1953.0,1903.0,2008
Savannah State,13.0,18.0,0.419,-16.24,-2.76,1846.0,2073.0,2008
Seton Hall,17.0,15.0,0.531,4.84,5.47,2452.0,2472.0,2008
Siena,23.0,11.0,0.676,4.06,-1.62,2613.0,2420.0,2008
South Alabama,26.0,7.0,0.788,7.76,-1.21,2478.0,2158.0,2008
South Carolina,14.0,18.0,0.438,7.3,6.11,2314.0,2276.0,2008
South Carolina State,13.0,20.0,0.394,-15.9,-9.23,2331.0,2501.0,2008
