year,round,region,slot,team1,seed1,score1,team2,seed2,score2,winner
2011,R32,Southwest,1,Kansas,1,73.0,Illinois,9,59.0,Kansas
2011,R32,Southwest,2,Richmond,12,65.0,Morehead State,13,48.0,Richmond
2011,R32,Southwest,3,VCU,11,94.0,Purdue,3,76.0,VCU
2011,R32,Southwest,4,Florida State,10,71.0,Notre Dame,2,57.0,Florida State
2011,S16,Southwest,1,Kansas,1,77.0,Richmond,12,57.0,Kansas
2011,S16,Southwest,2,VCU,11,72.0,Florida State,10,71.0,VCU
2011,E8,Southwest,1,Kansas,1,61.0,VCU,11,71.0,VCU
2011,R64,West,1,Duke,1,87.0,Hampton,16,45.0,Duke
2011,R64,West,2,Michigan,8,75.0,Tennessee,9,45.0,Michigan
2011,R64,West,3,Arizona,5,77.0,Memphis,12,75.0,Arizona
2011,R64,West,4,Texas,4,85.0,Oakland,13,81.0,Texas
2011,R64,West,5,Cincinnati,6,78.0,Missouri,11,63.0,Cincinnati
2011,R64,West,6,UConn,3,81.0,Bucknell,14,52.0,UConn
2011,R64,West,7,Temple,7,66.0,Penn State,10,64.0,Temple
2011,R64,West,8,San Diego State,2,68.0,Northern Colorado,15,50.0,San Diego State
2011,R32,West,1,Duke,1,73.0,Michigan,8,71.0,Duke
2011,R32,West,2,Arizona,5,70.0,Texas,4,69.0,Arizona
2011,R32,West,3,Cincinnati,6,58.0,UConn,3,69.0,UConn
2011,R32,West,4,Temple,7,64.0,San Diego State,2,71.0,San Diego State
2011,S16,West,1,Duke,1,77.0,Arizona,5,93.0,Arizona
2011,S16,West,2,UConn,3,74.0,San Diego State,2,67.0,UConn
2011,E8,West,1,Arizona,5,63.0,UConn,3,65.0,UConn
2011,F4,,1,Kentucky,4,55.0,UConn,3,56.0,UConn
2011,F4,,2,Butler,8,70.0,VCU,11,62.0,Butler
2011,NCG,,1,UConn,3,53.0,Butler,8,41.0,UConn
2012,R64,East,1,Syracuse,1,72.0,UNC Asheville,16,65.0,Syracuse
2012,R64,East,2,Kansas State,8,70.0,Southern Miss,9,64.0,Kansas State
2012,R64,East,3,Vanderbilt,5,79.0,Harvard,12,70.0,Vanderbilt
2012,R64,East,4,Wisconsin,4,73.0,Montana,13,49.0,Wisconsin
2012,R64,East,5,Cincinnati,6,65.0,Texas,11,59.0,Cincinnati
2012,R64,East,6,Florida State,3,66.0,St. Bonaventure,14,63.0,Florida State
2012,R64,East,7,Gonzaga,7,77.0,West Virginia,10,54.0,Gonzaga
2012,R64,East,8,Ohio State,2,78.0,Loyola (MD),15,59.0,Ohio State
2012,R32,East,1,Syracuse,1,75.0,Kansas State,8,59.0,Syracuse
2012,R32,East,2,Vanderbilt,5,57.0,Wisconsin,4,60.0,Wisconsin
2012,R32,East,3,Cincinnati,6,62.0,Florida State,3,56.0,Cincinnati
2012,R32,East,4,Gonzaga,7,66.0,Ohio State,2,73.0,Ohio State
2012,S16,East,1,Syracuse,1,64.0,Wisconsin,4,63.0,Syracuse
2012,S16,East,2,Cincinnati,6,66.0,Ohio State,2,81.0,Ohio State
2012,E8,East,1,Syracuse,1,70.0,Ohio State,2,77.0,Ohio State
2012,R64,Midwest,1,UNC,1,77.0,Vermont,16,58.0,UNC
2012,R64,Midwest,2,Creighton,8,58.0,Alabama,9,57.0,Creighton
2012,R64,Midwest,3,Temple,5,44.0,South Florida,12,58.0,South Florida
2012,R64,Midwest,4,Michigan,4,60.0,Ohio,13,65.0,Ohio
2012,R64,Midwest,5,San Diego State,6,65.0,NC State,11,79.0,NC State
2012,R64,Midwest,6,Georgetown,3,74.0,Belmont,14,59.0,Georgetown
2012,R64,Midwest,7,Saint Mary's,7,69.0,Purdue,10,72.0,Purdue
2012,R64,Midwest,8,Kansas,2,65.0,Detroit Mercy,15,50.0,Kansas
2012,R32,Midwest,1,UNC,1,87.0,Creighton,8,73.0,UNC
2012,R32,Midwest,2,South Florida,12,56.0,Ohio,13,62.0,Ohio
2012,R32,Midwest,3,NC State,11,66.0,Georgetown,3,63.0,NC State
2012,R32,Midwest,4,Purdue,10,60.0,Kansas,2,63.0,Kansas
2012,S16,Midwest,1,UNC,1,73.0,Ohio,13,65.0,UNC
2012,S16,Midwest,2,NC State,11,57.0,Kansas,2,60.0,Kansas
2012,E8,Midwest,1,UNC,1,67.0,Kansas,2,80.0,Kansas
2012,R64,South,1,Kentucky,1,81.0,Western Kentucky,16,66.0,Kentucky
2012,R64,South,2,Iowa State,8,77.0,UConn,9,64.0,Iowa State
2012,R64,South,3,Wichita State,5,59.0,VCU,12,62.0,VCU
2012,R64,South,4,Indiana,4,79.0,New Mexico State,13,66.0,Indiana
2012,R64,South,5,UNLV,6,64.0,Colorado,11,68.0,Colorado
2012,R64,South,6,Baylor,3,68.0,South Dakota State,14,60.0,Baylor
2012,R64,South,7,Notre Dame,7,63.0,Xavier,10,67.0,Xavier
2012,R64,South,8,Duke,2,70.0,Lehigh,15,75.0,Lehigh
2012,R32,South,1,Kentucky,1,87.0,Iowa State,8,71.0,Kentucky
