team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
High Point,14.0,18.0,0.438,-6.53,-3.39,2225.0,2232.0,2022
Hofstra,21.0,11.0,0.656,1.8,-0.6,2494.0,2333.0,2022
Holy Cross,9.0,22.0,0.29,-16.84,-7.87,2022.0,2192.0,2022
Houston,32.0,6.0,0.842,22.55,6.47,2844.0,2233.0,2022
Houston Christian,11.0,18.0,0.379,-14.47,-6.71,2190.0,2220.0,2022
Howard,16.0,13.0,0.552,-6.76,-8.53,2215.0,2019.0,2022
Idaho,9.0,22.0,0.29,-13.19,-4.78,2263.0,2468.0,2022
Idaho State,7.0,23.0,0.233,-14.96,-5.28,1931.0,2146.0,2022
Illinois,23.0,10.0,0.697,16.69,9.48,2456.0,2218.0,2022
Illinois State,13.0,20.0,0.394,-0.78,0.74,2447.0,2466.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Illinois-Chicago,14.0,16.0,0.467,-8.78,-6.37,2159.0,2188.0,2022
Incarnate Word,7.0,25.0,0.219,-17.03,-4.34,2145.0,2445.0,2022
Indiana,21.0,14.0,0.6,12.71,8.08,2478.0,2316.0,2022
Indiana State,11.0,20.0,0.355,-3.49,1.94,2184.0,2230.0,2022
Iona,25.0,8.0,0.758,5.47,-1.14,2482.0,2264.0,2022
Iowa,26.0,10.0,0.722,18.9,6.87,2995.0,2562.0,2022
Iowa State,22.0,13.0,0.629,12.38,9.33,2296.0,2189.0,2022
IU Indy,3.0,26.0,0.103,-23.61,-6.5,1521.0,1947.0,2022
Jackson State,11.0,19.0,0.367,-10.1,-5.6,1829.0,1964.0,2022
Jacksonville,21.0,10.0,0.677,-2.06,-5.21,2081.0,1839.0,2022
Jacksonville State,21.0,11.0,0.656,-0.19,-3.79,2353.0,2151.0,2022
James Madison,15.0,14.0,0.517,-4.13,-1.1,2178.0,2123.0,2022
Kansas,34.0,6.0,0.85,22.28,11.3,3129.0,2690.0,2022
Kansas City,19.0,12.0,0.613,-5.49,-5.23,2311.0,2085.0,2022
Kansas State,14.0,17.0,0.452,10.61,9.06,2139.0,2091.0,2022
Kennesaw State,13.0,18.0,0.419,-4.51,-2.62,2319.0,2206.0,2022
Kent State,23.0,11.0,0.676,-0.13,-3.07,2423.0,2217.0,2022
Kentucky,26.0,8.0,0.765,20.9,8.02,2701.0,2263.0,2022
La Salle,11.0,19.0,0.367,-3.5,0.54,2025.0,2146.0,2022
Lafayette,10.0,20.0,0.333,-12.6,-6.67,2034.0,2185.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Lamar,2.0,27.0,0.069,-15.86,-2.6,1778.0,2116.0,2022
Lehigh,13.0,19.0,0.406,-10.82,-7.56,2190.0,2284.0,2022
Liberty,22.0,11.0,0.667,1.86,-4.01,2421.0,2094.0,2022
Lipscomb,14.0,19.0,0.424,-8.42,-3.29,2442.0,2536.0,2022
Little Rock,9.0,19.0,0.321,-12.05,-0.73,1868.0,2047.0,2022
Long Beach State,20.0,13.0,0.606,-0.65,0.35,2437.0,2409.0,2022
Long Island University,16.0,14.0,0.533,-7.62,-7.03,2245.0,2204.0,2022
Longwood,26.0,7.0,0.788,-0.35,-6.11,2499.0,2170.0,2022
Louisiana,16.0,15.0,0.516,-2.71,-2.91,2203.0,2151.0,2022
Louisiana State,22.0,12.0,0.647,17.45,8.3,2467.0,2156.0,2022
Louisiana Tech,24.0,10.0,0.706,5.23,0.11,2558.0,2312.0,2022
Louisiana-Monroe,13.0,18.0,0.419,-8.7,-2.59,2246.0,2304.0,2022
Louisville,13.0,19.0,0.406,4.23,7.01,2154.0,2243.0,2022
Loyola (IL),25.0,8.0,0.758,13.39,2.93,2403.0,2029.0,2022
Loyola (MD),14.0,16.0,0.467,-8.4,-7.95,1984.0,1970.0,2022
Loyola Marymount,11.0,18.0,0.379,-1.93,3.25,2010.0,2148.0,2022
Maine,6.0,23.0,0.207,-18.38,-5.34,1811.0,2063.0,2022
Manhattan,15.0,15.0,0.5,-7.64,-3.85,2126.0,2179.0,2022
Marist,14.0,16.0,0.467,-4.26,-4.86,2063.0,2045.0,2022
Marquette,19.0,13.0,0.594,11.36,8.96,2369.0,2292.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Marshall,12.0,21.0,0.364,-4.57,0.14,2442.0,2523.0,2022
Maryland,15.0,17.0,0.469,9.34,9.12,2270.0,2263.0,2022
Maryland-Baltimore County,18.0,14.0,0.563,-6.06,-6.51,2359.0,2307.0,2022
Maryland-Eastern Shore,11.0,16.0,0.407,-13.1,-7.14,1778.0,1792.0,2022
Massachusetts,15.0,17.0,0.469,-0.67,1.7,2422.0,2498.0,2022
Massachusetts-Lowell,15.0,16.0,0.484,-7.08,-6.65,2191.0,2040.0,2022
McNeese State,11.0,22.0,0.333,-11.76,-5.04,2579.0,2555.0,2022
Memphis,22.0,11.0,0.667,14.67,7.86,2480.0,2255.0,2022
Mercer,16.0,17.0,0.485,-3.41,-1.15,2325.0,2328.0,2022
