year,round,team1,team2,winner,seed_diff,srs_diff,sos_diff,win_pct_diff,points_margin_diff,label
2016,R64,Miami (FL),Buffalo,Miami (FL),-11.0,17.18,9.79,0.20000000000000007,199.0,1.0
2016,R64,Buffalo,Miami (FL),Miami (FL),11.0,-17.18,-9.79,-0.20000000000000007,-199.0,0.0
2016,R64,Iowa,Temple,Iowa,-3.0,9.32,2.1400000000000006,0.031000000000000028,237.0,1.0
2016,R64,Temple,Iowa,Iowa,3.0,-9.32,-2.1400000000000006,-0.031000000000000028,-237.0,0.0
2016,R64,Villanova,UNC Asheville,Villanova,-13.0,22.979999999999997,12.96,0.22799999999999998,336.0,1.0
2016,R64,UNC Asheville,Villanova,Villanova,13.0,-22.979999999999997,-12.96,-0.22799999999999998,-336.0,0.0
2016,R32,Kansas,UConn,Kansas,-8.0,7.98,4.94,0.17400000000000004,173.0,1.0
2016,R32,UConn,Kansas,Kansas,8.0,-7.98,-4.94,-0.17400000000000004,-173.0,0.0
2016,R32,Maryland,Hawaii,Maryland,-8.0,7.6800000000000015,9.350000000000001,-0.07399999999999995,-28.0,1.0
2016,R32,Hawaii,Maryland,Maryland,8.0,-7.6800000000000015,-9.350000000000001,0.07399999999999995,28.0,0.0
2016,R32,Wichita State,Miami (FL),Miami (FL),8.0,-1.129999999999999,-6.449999999999999,-0.028000000000000025,195.0,0.0
2016,R32,Miami (FL),Wichita State,Miami (FL),-8.0,1.129999999999999,6.449999999999999,0.028000000000000025,-195.0,1.0
2016,R32,Iowa,Villanova,Villanova,5.0,-7.069999999999997,-1.0,-0.20799999999999996,-301.0,0.0
2016,R32,Villanova,Iowa,Villanova,-5.0,7.069999999999997,1.0,0.20799999999999996,301.0,1.0
2016,S16,Kansas,Maryland,Kansas,-4.0,7.16,2.91,0.118,194.0,1.0
2016,S16,Maryland,Kansas,Kansas,4.0,-7.16,-2.91,-0.118,-194.0,0.0
2016,S16,Miami (FL),Villanova,Villanova,1.0,-5.559999999999999,0.9799999999999986,-0.10399999999999998,-301.0,0.0
2016,S16,Villanova,Miami (FL),Villanova,-1.0,5.559999999999999,-0.9799999999999986,0.10399999999999998,301.0,1.0
2016,E8,Kansas,Villanova,Villanova,-1.0,-0.2099999999999973,1.5099999999999998,-0.007000000000000006,-56.0,0.0
2016,E8,Villanova,Kansas,Villanova,1.0,0.2099999999999973,-1.5099999999999998,0.007000000000000006,56.0,1.0
2016,R64,Oregon,Holy Cross,Oregon,-15.0,29.25,14.75,0.38699999999999996,554.0,1.0
2016,R64,Holy Cross,Oregon,Oregon,15.0,-29.25,-14.75,-0.38699999999999996,-554.0,0.0
2016,R64,Saint Joseph's,Cincinnati,Saint Joseph's,-1.0,-3.09,-0.3200000000000003,0.11099999999999999,-70.0,1.0
2016,R64,Cincinnati,Saint Joseph's,Saint Joseph's,1.0,3.09,0.3200000000000003,-0.11099999999999999,70.0,0.0
2016,R64,Baylor,Yale,Yale,-7.0,7.049999999999999,10.79,-0.12,-79.0,0.0
2016,R64,Yale,Baylor,Yale,7.0,-7.049999999999999,-10.79,0.12,79.0,1.0
2016,R64,Duke,UNC Wilmington,Duke,-9.0,12.98,10.24,-0.06400000000000006,70.0,1.0
2016,R64,UNC Wilmington,Duke,Duke,9.0,-12.98,-10.24,0.06400000000000006,-70.0,0.0
2016,R64,Texas,Northern Iowa,Northern Iowa,-5.0,6.020000000000001,7.2700000000000005,-0.03300000000000003,-70.0,0.0
2016,R64,Northern Iowa,Texas,Northern Iowa,5.0,-6.020000000000001,-7.2700000000000005,0.03300000000000003,70.0,1.0
2016,R64,Texas A&M,Green Bay,Texas A&M,-11.0,17.29,9.12,0.118,237.0,1.0
2016,R64,Green Bay,Texas A&M,Texas A&M,11.0,-17.29,-9.12,-0.118,-237.0,0.0
2016,R64,Oregon State,VCU,VCU,-3.0,-3.4399999999999995,4.91,-0.09999999999999998,-284.0,0.0
2016,R64,VCU,Oregon State,VCU,3.0,3.4399999999999995,-4.91,0.09999999999999998,284.0,1.0
2016,R64,Oklahoma,Cal State Bakersfield,Oklahoma,-13.0,17.18,16.29,0.05700000000000005,18.0,1.0
2016,R64,Cal State Bakersfield,Oklahoma,Oklahoma,13.0,-17.18,-16.29,-0.05700000000000005,-18.0,0.0
2016,R32,Oregon,Saint Joseph's,Oregon,-7.0,5.950000000000001,3.710000000000001,0.03799999999999992,118.0,1.0
2016,R32,Saint Joseph's,Oregon,Oregon,7.0,-5.950000000000001,-3.710000000000001,-0.03799999999999992,-118.0,0.0
2016,R32,Yale,Duke,Duke,8.0,-10.15,-11.62,0.07300000000000006,23.0,0.0
2016,R32,Duke,Yale,Duke,-8.0,10.15,11.62,-0.07300000000000006,-23.0,1.0
2016,R32,Northern Iowa,Texas A&M,Texas A&M,8.0,-9.67,-4.009999999999999,-0.118,-198.0,0.0
2016,R32,Texas A&M,Northern Iowa,Texas A&M,-8.0,9.67,4.009999999999999,0.118,198.0,1.0
2016,R32,VCU,Oklahoma,Oklahoma,8.0,-5.9300000000000015,-6.790000000000001,-0.09000000000000008,22.0,0.0
2016,R32,Oklahoma,VCU,Oklahoma,-8.0,5.9300000000000015,6.790000000000001,0.09000000000000008,-22.0,1.0
2016,S16,Oregon,Duke,Oregon,-3.0,-1.1799999999999997,-1.9499999999999993,0.122,65.0,1.0
2016,S16,Duke,Oregon,Oregon,3.0,1.1799999999999997,1.9499999999999993,-0.122,-65.0,0.0
2016,S16,Texas A&M,Oklahoma,Oklahoma,1.0,-1.3100000000000023,-2.6900000000000013,-0.027000000000000024,51.0,0.0
2016,S16,Oklahoma,Texas A&M,Oklahoma,-1.0,1.3100000000000023,2.6900000000000013,0.027000000000000024,-51.0,1.0
2016,E8,Oregon,Oklahoma,Oklahoma,-1.0,-1.7100000000000009,-2.5,0.03199999999999992,57.0,0.0
2016,E8,Oklahoma,Oregon,Oklahoma,1.0,1.7100000000000009,2.5,-0.03199999999999992,-57.0,1.0
2016,F4,UNC,Syracuse,UNC,-9.0,-13.52,-13.0,0.025000000000000022,59.0,1.0
2016,F4,Syracuse,UNC,UNC,9.0,13.52,13.0,-0.025000000000000022,-59.0,0.0
2016,F4,Villanova,Oklahoma,Villanova,0.0,4.319999999999997,-1.4299999999999997,0.09099999999999997,256.0,1.0
2016,F4,Oklahoma,Villanova,Villanova,-0.0,-4.319999999999997,1.4299999999999997,-0.09099999999999997,-256.0,0.0
2016,NCG,UNC,Villanova,Villanova,-1.0,-22.979999999999997,-12.96,-0.22799999999999998,-336.0,0.0
2016,NCG,Villanova,UNC,Villanova,1.0,22.979999999999997,12.96,0.22799999999999998,336.0,1.0
2017,R64,Villanova,Mount St. Mary's,Villanova,-15.0,28.09,12.79,0.33299999999999996,551.0,1.0
2017,R64,Mount St. Mary's,Villanova,Villanova,15.0,-28.09,-12.79,-0.33299999999999996,-551.0,0.0
2017,R64,Wisconsin,Virginia Tech,Wisconsin,-1.0,6.629999999999999,1.0199999999999996,0.06299999999999994,225.0,1.0
2017,R64,Virginia Tech,Wisconsin,Wisconsin,1.0,-6.629999999999999,-1.0199999999999996,-0.06299999999999994,-225.0,0.0
2017,R64,Virginia,UNC Wilmington,Virginia,-7.0,12.569999999999999,11.48,-0.1529999999999999,-13.0,1.0
2017,R64,UNC Wilmington,Virginia,Virginia,7.0,-12.569999999999999,-11.48,0.1529999999999999,13.0,0.0
2017,R64,Florida,ETSU,Florida,-9.0,23.97,13.969999999999999,0.18300000000000005,308.0,1.0
2017,R64,ETSU,Florida,Florida,9.0,-23.97,-13.969999999999999,-0.18300000000000005,-308.0,0.0
2017,R64,SMU,USC,USC,-5.0,7.23,-1.9500000000000002,0.135,316.0,0.0
2017,R64,USC,SMU,USC,5.0,-7.23,1.9500000000000002,-0.135,-316.0,1.0
2017,R64,Baylor,New Mexico State,Baylor,-11.0,15.09,15.69,-0.052999999999999936,-46.0,1.0
2017,R64,New Mexico State,Baylor,Baylor,11.0,-15.09,-15.69,0.052999999999999936,46.0,0.0
2017,R64,South Carolina,Marquette,South Carolina,-3.0,2.26,1.5600000000000005,0.10899999999999999,80.0,1.0
2017,R64,Marquette,South Carolina,South Carolina,3.0,-2.26,-1.5600000000000005,-0.10899999999999999,-80.0,0.0
2017,R64,Duke,Troy,Duke,-13.0,22.029999999999998,14.27,0.16200000000000003,172.0,1.0
2017,R64,Troy,Duke,Duke,13.0,-22.029999999999998,-14.27,-0.16200000000000003,-172.0,0.0
2017,R32,Villanova,Wisconsin,Wisconsin,-7.0,4.400000000000002,-0.120000000000001,0.15900000000000003,153.0,0.0
2017,R32,Wisconsin,Villanova,Wisconsin,7.0,-4.400000000000002,0.120000000000001,-0.15900000000000003,-153.0,1.0
2017,R32,Virginia,Florida,Florida,1.0,-1.7699999999999996,-0.08000000000000007,-0.07399999999999995,-80.0,0.0
2017,R32,Florida,Virginia,Florida,-1.0,1.7699999999999996,0.08000000000000007,0.07399999999999995,80.0,1.0
2017,R32,USC,Baylor,Baylor,8.0,-8.27,-5.469999999999999,-0.049000000000000044,-139.0,0.0
2017,R32,Baylor,USC,Baylor,-8.0,8.27,5.469999999999999,0.049000000000000044,139.0,1.0
2017,R32,South Carolina,Duke,South Carolina,5.0,-4.039999999999999,-0.75,-0.05400000000000005,-101.0,1.0
2017,R32,Duke,South Carolina,South Carolina,-5.0,4.039999999999999,0.75,0.05400000000000005,101.0,0.0
2017,S16,Wisconsin,Florida,Florida,4.0,-3.0,-1.6099999999999994,-0.020000000000000018,-40.0,0.0
2017,S16,Florida,Wisconsin,Florida,-4.0,3.0,1.6099999999999994,0.020000000000000018,40.0,1.0
2017,S16,Baylor,South Carolina,South Carolina,-4.0,2.2300000000000004,1.709999999999999,0.06800000000000006,29.0,0.0
2017,S16,South Carolina,Baylor,South Carolina,4.0,-2.2300000000000004,-1.709999999999999,-0.06800000000000006,-29.0,1.0
2017,E8,Florida,South Carolina,South Carolina,-3.0,4.879999999999999,0.8499999999999996,0.04700000000000004,117.0,0.0
2017,E8,South Carolina,Florida,South Carolina,3.0,-4.879999999999999,-0.8499999999999996,-0.04700000000000004,-117.0,1.0
2017,R64,Kansas,UC Davis,Kansas,-15.0,28.740000000000002,16.91,0.22199999999999998,388.0,1.0
2017,R64,UC Davis,Kansas,Kansas,15.0,-28.740000000000002,-16.91,-0.22199999999999998,-388.0,0.0
2017,R64,Miami (FL),Michigan State,Michigan State,-1.0,0.8100000000000005,-0.9299999999999997,0.06500000000000006,51.0,0.0
2017,R64,Michigan State,Miami (FL),Michigan State,1.0,-0.8100000000000005,0.9299999999999997,-0.06500000000000006,-51.0,1.0
2017,R64,Iowa State,Nevada,Iowa State,-7.0,10.020000000000001,9.91,-0.11399999999999999,4.0,1.0
2017,R64,Nevada,Iowa State,Iowa State,7.0,-10.020000000000001,-9.91,0.11399999999999999,-4.0,0.0
2017,R64,Purdue,Vermont,Purdue,-9.0,13.459999999999999,12.059999999999999,-0.05799999999999994,0.0,1.0
2017,R64,Vermont,Purdue,Purdue,9.0,-13.459999999999999,-12.059999999999999,0.05799999999999994,-0.0,0.0
2017,R64,Creighton,Rhode Island,Rhode Island,-5.0,4.389999999999999,4.329999999999999,0.0,26.0,0.0
2017,R64,Rhode Island,Creighton,Rhode Island,5.0,-4.389999999999999,-4.329999999999999,-0.0,-26.0,1.0
2017,R64,Oregon,Iona,Oregon,-11.0,19.72,10.850000000000001,0.21699999999999997,387.0,1.0
2017,R64,Iona,Oregon,Oregon,11.0,-19.72,-10.850000000000001,-0.21699999999999997,-387.0,0.0
2017,R64,Michigan,Oklahoma State,Michigan,-3.0,-0.39000000000000057,-2.0500000000000007,0.07800000000000007,89.0,1.0
2017,R64,Oklahoma State,Michigan,Michigan,3.0,0.39000000000000057,2.0500000000000007,-0.07800000000000007,-89.0,0.0
2017,R64,Louisville,Jacksonville State,Louisville,-13.0,25.32,14.39,0.16400000000000003,329.0,1.0
2017,R64,Jacksonville State,Louisville,Louisville,13.0,-25.32,-14.39,-0.16400000000000003,-329.0,0.0
2017,R32,Kansas,Michigan State,Kansas,-8.0,9.860000000000001,1.7300000000000004,0.29000000000000004,296.0,1.0
2017,R32,Michigan State,Kansas,Kansas,8.0,-9.860000000000001,-1.7300000000000004,-0.29000000000000004,-296.0,0.0
2017,R32,Iowa State,Purdue,Purdue,1.0,0.38000000000000256,3.1500000000000004,-0.08499999999999996,-97.0,0.0
2017,R32,Purdue,Iowa State,Purdue,-1.0,-0.38000000000000256,-3.1500000000000004,0.08499999999999996,97.0,1.0
2017,R32,Rhode Island,Oregon,Oregon,8.0,-7.92,-3.7600000000000007,-0.132,-222.0,0.0
2017,R32,Oregon,Rhode Island,Oregon,-8.0,7.92,3.7600000000000007,0.132,222.0,1.0
2017,R32,Michigan,Louisville,Michigan,5.0,-3.669999999999998,-0.9800000000000004,-0.050999999999999934,-57.0,1.0
2017,R32,Louisville,Michigan,Michigan,-5.0,3.669999999999998,0.9800000000000004,0.050999999999999934,57.0,0.0
2017,S16,Kansas,Purdue,Kansas,-3.0,3.400000000000002,3.4400000000000013,0.08999999999999997,10.0,1.0
2017,S16,Purdue,Kansas,Kansas,3.0,-3.400000000000002,-3.4400000000000013,-0.08999999999999997,-10.0,0.0
2017,S16,Oregon,Michigan,Oregon,-4.0,2.0,-1.7899999999999991,0.16199999999999992,183.0,1.0
2017,S16,Michigan,Oregon,Oregon,4.0,-2.0,1.7899999999999991,-0.16199999999999992,-183.0,0.0
2017,E8,Kansas,Oregon,Oregon,-2.0,2.7300000000000004,3.8499999999999996,0.015000000000000013,-104.0,0.0
2017,E8,Oregon,Kansas,Oregon,2.0,-2.7300000000000004,-3.8499999999999996,-0.015000000000000013,104.0,1.0
2017,R64,UNC,Texas Southern,UNC,-15.0,7.25,2.1999999999999993,0.039999999999999925,234.0,1.0
2017,R64,Texas Southern,UNC,UNC,15.0,-7.25,-2.1999999999999993,-0.039999999999999925,-234.0,0.0
2017,R64,Arkansas,Seton Hall,Arkansas,-1.0,1.9399999999999995,-0.6500000000000004,0.08599999999999997,102.0,1.0
2017,R64,Seton Hall,Arkansas,Arkansas,1.0,-1.9399999999999995,0.6500000000000004,-0.08599999999999997,-102.0,0.0
2017,R64,Minnesota,Middle Tennessee,Middle Tennessee,-7.0,4.76,9.3,-0.15500000000000003,-203.0,0.0
2017,R64,Middle Tennessee,Minnesota,Middle Tennessee,7.0,-4.76,-9.3,0.15500000000000003,203.0,1.0
2017,R64,Butler,Winthrop,Butler,-9.0,16.36,16.35,-0.05300000000000005,-39.0,1.0
2017,R64,Winthrop,Butler,Butler,9.0,-16.36,-16.35,0.05300000000000005,39.0,0.0
2017,R64,Cincinnati,Kansas State,Cincinnati,-5.0,3.629999999999999,-4.99,0.23299999999999998,315.0,1.0
2017,R64,Kansas State,Cincinnati,Cincinnati,5.0,-3.629999999999999,4.99,-0.23299999999999998,-315.0,0.0
2017,R64,UCLA,Kent State,UCLA,-11.0,19.790000000000003,8.02,0.25,370.0,1.0
2017,R64,Kent State,UCLA,UCLA,11.0,-19.790000000000003,-8.02,-0.25,-370.0,0.0
2017,R64,Dayton,Wichita State,Wichita State,-3.0,-8.259999999999998,1.3099999999999996,-0.11099999999999999,-368.0,0.0
2017,R64,Wichita State,Dayton,Wichita State,3.0,8.259999999999998,-1.3099999999999996,0.11099999999999999,368.0,1.0
2017,R64,Kentucky,Northern Kentucky,Kentucky,-13.0,24.05,13.33,0.15599999999999992,357.0,1.0
2017,R64,Northern Kentucky,Kentucky,Kentucky,13.0,-24.05,-13.33,-0.15599999999999992,-357.0,0.0
2017,R32,UNC,Arkansas,UNC,-7.0,-13.2,-14.21,-0.025000000000000022,87.0,1.0
2017,R32,Arkansas,UNC,UNC,7.0,13.2,14.21,0.025000000000000022,-87.0,0.0
2017,R32,Middle Tennessee,Butler,Butler,8.0,-7.899999999999999,-10.71,0.126,144.0,0.0
2017,R32,Butler,Middle Tennessee,Butler,-8.0,7.899999999999999,10.71,-0.126,-144.0,1.0
2017,R32,Cincinnati,UCLA,UCLA,3.0,-2.240000000000002,-0.8999999999999995,-0.028000000000000025,-48.0,0.0
2017,R32,UCLA,Cincinnati,UCLA,-3.0,2.240000000000002,0.8999999999999995,0.028000000000000025,48.0,1.0
2017,R32,Wichita State,Kentucky,Kentucky,8.0,-2.6400000000000006,-7.53,0.019000000000000017,161.0,0.0
2017,R32,Kentucky,Wichita State,Kentucky,-8.0,2.6400000000000006,7.53,-0.019000000000000017,-161.0,1.0
2017,S16,UNC,Butler,UNC,-3.0,-16.86,-15.84,-0.038000000000000034,29.0,1.0
2017,S16,Butler,UNC,UNC,3.0,16.86,15.84,0.038000000000000034,-29.0,0.0
2017,S16,UCLA,Kentucky,Kentucky,1.0,-3.2099999999999973,-4.1000000000000005,0.019000000000000017,5.0,0.0
2017,S16,Kentucky,UCLA,Kentucky,-1.0,3.2099999999999973,4.1000000000000005,-0.019000000000000017,-5.0,1.0
2017,E8,UNC,Kentucky,UNC,-1.0,-23.04,-16.1,-0.14500000000000002,-226.0,1.0
2017,E8,Kentucky,UNC,UNC,1.0,23.04,16.1,0.14500000000000002,226.0,0.0
2017,R64,Gonzaga,South Dakota State,Gonzaga,-15.0,27.560000000000002,4.79,0.43499999999999994,838.0,1.0
2017,R64,South Dakota State,Gonzaga,Gonzaga,15.0,-27.560000000000002,-4.79,-0.43499999999999994,-838.0,0.0
2017,R64,Northwestern,Vanderbilt,Northwestern,-1.0,0.33000000000000007,-2.290000000000001,0.124,97.0,1.0
2017,R64,Vanderbilt,Northwestern,Northwestern,1.0,-0.33000000000000007,2.290000000000001,-0.124,-97.0,0.0
2017,R64,Notre Dame,Princeton,Notre Dame,-7.0,11.239999999999998,11.62,-0.04500000000000004,-17.0,1.0
2017,R64,Princeton,Notre Dame,Notre Dame,7.0,-11.239999999999998,-11.62,0.04500000000000004,17.0,0.0
2017,R64,West Virginia,Bucknell,West Virginia,-9.0,18.56,12.15,0.014000000000000012,254.0,1.0
2017,R64,Bucknell,West Virginia,West Virginia,9.0,-18.56,-12.15,-0.014000000000000012,-254.0,0.0
2017,R64,Maryland,Xavier,Xavier,-5.0,-2.0100000000000016,-3.2200000000000006,0.09499999999999997,67.0,0.0
2017,R64,Xavier,Maryland,Xavier,5.0,2.0100000000000016,3.2200000000000006,-0.09499999999999997,-67.0,1.0
2017,R64,Florida State,Florida Gulf Coast,Florida State,-11.0,16.61,12.29,-0.02200000000000002,5.0,1.0
2017,R64,Florida Gulf Coast,Florida State,Florida State,11.0,-16.61,-12.29,0.02200000000000002,-5.0,0.0
2017,R64,Saint Mary's,VCU,Saint Mary's,-3.0,5.18,-1.58,0.10999999999999999,222.0,1.0
2017,R64,VCU,Saint Mary's,Saint Mary's,3.0,-5.18,1.58,-0.10999999999999999,-222.0,0.0
2017,R64,Arizona,North Dakota,Arizona,-13.0,20.08,13.08,0.17700000000000005,172.0,1.0
2017,R64,North Dakota,Arizona,Arizona,13.0,-20.08,-13.08,-0.17700000000000005,-172.0,0.0
2017,R32,Gonzaga,Northwestern,Gonzaga,-7.0,11.240000000000002,-4.3,0.2819999999999999,623.0,1.0
2017,R32,Northwestern,Gonzaga,Gonzaga,7.0,-11.240000000000002,4.3,-0.2819999999999999,-623.0,0.0
2017,R32,Notre Dame,West Virginia,West Virginia,1.0,-6.640000000000001,0.10999999999999943,-0.03500000000000003,-258.0,0.0
2017,R32,West Virginia,Notre Dame,West Virginia,-1.0,6.640000000000001,-0.10999999999999943,0.03500000000000003,258.0,1.0
2017,R32,Xavier,Florida State,Xavier,8.0,-4.07,2.6400000000000006,-0.11099999999999999,-225.0,1.0
2017,R32,Florida State,Xavier,Xavier,-8.0,4.07,-2.6400000000000006,0.11099999999999999,225.0,0.0
2017,R32,Saint Mary's,Arizona,Arizona,5.0,-1.5,-5.4399999999999995,-0.01200000000000001,102.0,0.0
2017,R32,Arizona,Saint Mary's,Arizona,-5.0,1.5,5.4399999999999995,0.01200000000000001,-102.0,1.0
2017,S16,Gonzaga,West Virginia,Gonzaga,-3.0,0.8100000000000023,-5.54,0.19199999999999995,277.0,1.0
2017,S16,West Virginia,Gonzaga,Gonzaga,3.0,-0.8100000000000023,5.54,-0.19199999999999995,-277.0,0.0
2017,S16,Xavier,Arizona,Xavier,9.0,-3.4499999999999993,3.88,-0.23299999999999998,-268.0,1.0
2017,S16,Arizona,Xavier,Xavier,-9.0,3.4499999999999993,-3.88,0.23299999999999998,268.0,0.0
2017,E8,Gonzaga,Xavier,Gonzaga,-10.0,10.46,-7.38,0.31699999999999995,699.0,1.0
2017,E8,Xavier,Gonzaga,Gonzaga,10.0,-10.46,7.38,-0.31699999999999995,-699.0,0.0
2017,F4,South Carolina,Gonzaga,Gonzaga,6.0,-7.740000000000002,6.03,-0.246,-531.0,0.0
2017,F4,Gonzaga,South Carolina,Gonzaga,-6.0,7.740000000000002,-6.03,0.246,531.0,1.0
2017,F4,Oregon,UNC,UNC,2.0,19.96,13.990000000000002,0.14900000000000002,228.0,0.0
2017,F4,UNC,Oregon,UNC,-2.0,-19.96,-13.990000000000002,-0.14900000000000002,-228.0,1.0
2017,NCG,Gonzaga,UNC,UNC,0.0,24.42,9.74,0.252,541.0,0.0
2017,NCG,UNC,Gonzaga,UNC,-0.0,-24.42,-9.74,-0.252,-541.0,1.0
2018,R64,Villanova,Radford,Villanova,-15.0,29.26,14.33,0.261,570.0,1.0
2018,R64,Radford,Villanova,Villanova,15.0,-29.26,-14.33,-0.261,-570.0,0.0
2018,R64,Virginia Tech,Alabama,Alabama,-1.0,2.01,-3.9300000000000006,0.07999999999999996,191.0,0.0
2018,R64,Alabama,Virginia Tech,Alabama,1.0,-2.01,3.9300000000000006,-0.07999999999999996,-191.0,1.0
2018,R64,West Virginia,Murray State,West Virginia,-7.0,13.02,12.91,-0.10999999999999999,-9.0,1.0
2018,R64,Murray State,West Virginia,West Virginia,7.0,-13.02,-12.91,0.10999999999999999,9.0,0.0
2018,R64,Wichita State,Marshall,Marshall,-9.0,12.369999999999997,5.02,0.06400000000000006,199.0,0.0
2018,R64,Marshall,Wichita State,Marshall,9.0,-12.369999999999997,-5.02,-0.06400000000000006,-199.0,1.0
2018,R64,Florida,St. Bonaventure,Florida,-5.0,7.790000000000001,7.470000000000001,-0.14700000000000002,11.0,1.0
2018,R64,St. Bonaventure,Florida,Florida,5.0,-7.790000000000001,-7.470000000000001,0.14700000000000002,-11.0,0.0
2018,R64,Texas Tech,Stephen F. Austin,Texas Tech,-11.0,16.72,16.07,-0.07000000000000006,-71.0,1.0
2018,R64,Stephen F. Austin,Texas Tech,Texas Tech,11.0,-16.72,-16.07,0.07000000000000006,71.0,0.0
2018,R64,Arkansas,Butler,Butler,-3.0,-2.160000000000002,-0.7000000000000011,0.05700000000000005,-51.0,0.0
2018,R64,Butler,Arkansas,Butler,3.0,2.160000000000002,0.7000000000000011,-0.05700000000000005,51.0,1.0
2018,R64,Purdue,Cal State Fullerton,Purdue,-13.0,24.34,9.77,0.18600000000000005,470.0,1.0
2018,R64,Cal State Fullerton,Purdue,Purdue,13.0,-24.34,-9.77,-0.18600000000000005,-470.0,0.0
2018,R32,Villanova,Alabama,Villanova,-8.0,14.3,-0.40000000000000036,0.344,595.0,1.0
2018,R32,Alabama,Villanova,Villanova,8.0,-14.3,0.40000000000000036,-0.344,-595.0,0.0
2018,R32,West Virginia,Marshall,West Virginia,-8.0,15.68,8.940000000000001,0.009000000000000008,221.0,1.0
2018,R32,Marshall,West Virginia,West Virginia,8.0,-15.68,-8.940000000000001,-0.009000000000000008,-221.0,0.0
2018,R32,Florida,Texas Tech,Texas Tech,3.0,-2.719999999999999,0.4800000000000004,-0.11199999999999999,-138.0,0.0
2018,R32,Texas Tech,Florida,Texas Tech,-3.0,2.719999999999999,-0.4800000000000004,0.11199999999999999,138.0,1.0
2018,R32,Butler,Purdue,Purdue,8.0,-6.489999999999998,1.8100000000000005,-0.21100000000000008,-320.0,0.0
2018,R32,Purdue,Butler,Purdue,-8.0,6.489999999999998,-1.8100000000000005,0.21100000000000008,320.0,1.0
2018,S16,Villanova,West Virginia,Villanova,-4.0,6.75,0.8599999999999994,0.19700000000000006,267.0,1.0
2018,S16,West Virginia,Villanova,Villanova,4.0,-6.75,-0.8599999999999994,-0.19700000000000006,-267.0,0.0
2018,S16,Texas Tech,Purdue,Texas Tech,1.0,-4.030000000000001,0.8599999999999994,-0.08100000000000007,-181.0,1.0
2018,S16,Purdue,Texas Tech,Texas Tech,-1.0,4.030000000000001,-0.8599999999999994,0.08100000000000007,181.0,0.0
2018,E8,Villanova,Texas Tech,Villanova,-2.0,7.260000000000002,0.6400000000000006,0.17000000000000004,294.0,1.0
2018,E8,Texas Tech,Villanova,Villanova,2.0,-7.260000000000002,-0.6400000000000006,-0.17000000000000004,-294.0,0.0
2018,R64,Kansas,Penn,Kansas,-15.0,5.540000000000001,4.090000000000001,0.128,57.0,1.0
2018,R64,Penn,Kansas,Kansas,15.0,-5.540000000000001,-4.090000000000001,-0.128,-57.0,0.0
2018,R64,Seton Hall,NC State,Seton Hall,-1.0,2.76,3.4099999999999993,0.01100000000000001,-16.0,1.0
2018,R64,NC State,Seton Hall,Seton Hall,1.0,-2.76,-3.4099999999999993,-0.01100000000000001,16.0,0.0
2018,R64,Clemson,New Mexico State,Clemson,-7.0,8.1,10.35,-0.10999999999999999,-112.0,1.0
2018,R64,New Mexico State,Clemson,Clemson,7.0,-8.1,-10.35,0.10999999999999999,112.0,0.0
2018,R64,Auburn,College of Charleston,Auburn,-9.0,14.14,10.58,0.0,90.0,1.0
2018,R64,College of Charleston,Auburn,Auburn,9.0,-14.14,-10.58,-0.0,-90.0,0.0
2018,R64,TCU,Syracuse,Syracuse,-5.0,3.4899999999999984,-0.33999999999999986,0.014000000000000012,115.0,0.0
2018,R64,Syracuse,TCU,Syracuse,5.0,-3.4899999999999984,0.33999999999999986,-0.014000000000000012,-115.0,1.0
2018,R64,Michigan State,Bucknell,Michigan State,-11.0,17.92,10.559999999999999,0.14300000000000002,258.0,1.0
2018,R64,Bucknell,Michigan State,Michigan State,11.0,-17.92,-10.559999999999999,-0.14300000000000002,-258.0,0.0
2018,R64,Rhode Island,Oklahoma,Rhode Island,-3.0,-2.0,-5.95,0.20200000000000007,141.0,1.0
2018,R64,Oklahoma,Rhode Island,Rhode Island,3.0,2.0,5.95,-0.20200000000000007,-141.0,0.0
2018,R64,Duke,Iona,Duke,-13.0,23.68,11.889999999999999,0.19600000000000006,445.0,1.0
2018,R64,Iona,Duke,Duke,13.0,-23.68,-11.889999999999999,-0.19600000000000006,-445.0,0.0
2018,R32,Kansas,Seton Hall,Kansas,-7.0,5.720000000000001,1.7700000000000014,0.14800000000000002,182.0,1.0
2018,R32,Seton Hall,Kansas,Kansas,7.0,-5.720000000000001,-1.7700000000000014,-0.14800000000000002,-182.0,0.0
2018,R32,Clemson,Auburn,Clemson,1.0,1.1899999999999995,1.96,-0.051000000000000045,-18.0,1.0
2018,R32,Auburn,Clemson,Clemson,-1.0,-1.1899999999999995,-1.96,0.051000000000000045,18.0,0.0
2018,R32,Syracuse,Michigan State,Syracuse,8.0,-9.52,2.92,-0.235,-430.0,1.0
2018,R32,Michigan State,Syracuse,Syracuse,-8.0,9.52,-2.92,0.235,430.0,0.0
2018,R32,Rhode Island,Duke,Duke,5.0,-12.62,-5.089999999999999,-0.019000000000000017,-300.0,0.0
2018,R32,Duke,Rhode Island,Duke,-5.0,12.62,5.089999999999999,0.019000000000000017,300.0,1.0
2018,S16,Kansas,Clemson,Kansas,-4.0,4.23,2.630000000000001,0.08100000000000007,94.0,1.0
2018,S16,Clemson,Kansas,Kansas,4.0,-4.23,-2.630000000000001,-0.08100000000000007,-94.0,0.0
