year,round,team1,team2,winner,seed_diff,srs_diff,sos_diff,win_pct_diff,points_margin_diff,label
2009,R64,Robert Morris,Michigan State,Michigan State,13.0,-18.41,-14.6,-0.1299999999999999,-138.0,0.0
2009,R32,Louisville,Siena,Louisville,-8.0,12.82,7.42,0.06699999999999995,214.0,1.0
2009,R32,Siena,Louisville,Louisville,8.0,-12.82,-7.42,-0.06699999999999995,-214.0,0.0
2009,R32,Arizona,Cleveland State,Arizona,-1.0,4.910000000000001,6.680000000000001,-0.10299999999999998,-144.0,1.0
2009,R32,Cleveland State,Arizona,Arizona,1.0,-4.910000000000001,-6.680000000000001,0.10299999999999998,144.0,0.0
2009,R32,Dayton,Kansas,Kansas,8.0,-10.86,-6.140000000000001,0.0,-195.0,0.0
2009,R32,Kansas,Dayton,Kansas,-8.0,10.86,6.140000000000001,-0.0,195.0,1.0
2009,R32,USC,Michigan State,Michigan State,8.0,-3.620000000000001,-0.21999999999999886,-0.18699999999999994,-144.0,0.0
2009,R32,Michigan State,USC,Michigan State,-8.0,3.620000000000001,0.21999999999999886,0.18699999999999994,144.0,1.0
2009,S16,Louisville,Arizona,Louisville,-11.0,8.99,-0.39000000000000057,0.238,353.0,1.0
2009,S16,Arizona,Louisville,Louisville,11.0,-8.99,0.39000000000000057,-0.238,-353.0,0.0
2009,S16,Kansas,Michigan State,Michigan State,1.0,0.3099999999999987,-1.4699999999999989,-0.04499999999999993,67.0,0.0
2009,S16,Michigan State,Kansas,Michigan State,-1.0,-0.3099999999999987,1.4699999999999989,0.04499999999999993,-67.0,1.0
2009,E8,Louisville,Michigan State,Michigan State,-1.0,3.16,-0.9599999999999991,0.02200000000000002,144.0,0.0
2009,E8,Michigan State,Louisville,Michigan State,1.0,-3.16,0.9599999999999991,-0.02200000000000002,-144.0,1.0
2009,R64,UNC,Radford,UNC,-15.0,-6.79,0.17999999999999972,-0.15200000000000002,-268.0,1.0
2009,R64,Radford,UNC,UNC,15.0,6.79,-0.17999999999999972,0.15200000000000002,268.0,0.0
2009,R64,LSU,Butler,LSU,-1.0,1.799999999999999,1.2000000000000002,-0.041999999999999926,-13.0,1.0
2009,R64,Butler,LSU,LSU,1.0,-1.799999999999999,-1.2000000000000002,0.041999999999999926,13.0,0.0
2009,R64,Illinois,Western Kentucky,Western Kentucky,-7.0,10.700000000000001,7.960000000000001,-0.029000000000000026,84.0,0.0
2009,R64,Western Kentucky,Illinois,Western Kentucky,7.0,-10.700000000000001,-7.960000000000001,0.029000000000000026,-84.0,1.0
2009,R64,Gonzaga,Akron,Gonzaga,-9.0,14.579999999999998,5.56,0.18499999999999994,310.0,1.0
2009,R64,Akron,Gonzaga,Gonzaga,9.0,-14.579999999999998,-5.56,-0.18499999999999994,-310.0,0.0
2009,R64,Arizona State,Temple,Arizona State,-5.0,7.649999999999999,3.9200000000000004,0.06699999999999995,136.0,1.0
2009,R64,Temple,Arizona State,Arizona State,5.0,-7.649999999999999,-3.9200000000000004,-0.06699999999999995,-136.0,0.0
2009,R64,Syracuse,Stephen F. Austin,Syracuse,-11.0,16.139999999999997,12.690000000000001,-0.013000000000000012,17.0,1.0
2009,R64,Stephen F. Austin,Syracuse,Syracuse,11.0,-16.139999999999997,-12.690000000000001,0.013000000000000012,-17.0,0.0
2009,R64,Clemson,Michigan,Michigan,-3.0,3.66,-3.1500000000000004,0.119,202.0,0.0
2009,R64,Michigan,Clemson,Michigan,3.0,-3.66,3.1500000000000004,-0.119,-202.0,1.0
2009,R64,Oklahoma,Morgan State,Oklahoma,-13.0,20.36,13.41,0.17599999999999993,252.0,1.0
2009,R64,Morgan State,Oklahoma,Oklahoma,13.0,-20.36,-13.41,-0.17599999999999993,-252.0,0.0
